suburb,postcode,lga,crime_totalIncidents,crime_year,crimeLga_ratePer100k,crimeLga_crimeScore,rent_region,rent_period,rent_1brFlat,rent_2brFlat,rent_3brFlat,rent_2brHouse,rent_3brHouse,rent_4brHouse,rent_all,rent_1brFlat_score,rent_2brFlat_score,rent_3brFlat_score,rent_2brHouse_score,rent_3brHouse_score,rent_4brHouse_score,rent_all_score,meanMedianHousePrice,meanMedianUnitPrice,housePriceScore,unitPriceScore
Blind Bight,3980,Casey,15,2025,5486.1,-0.1306,,,,,,,,,,,,,,,,,725500.0,,-0.9827,
Bonbeach,3196,Kingston,233,2025,5702.9,-0.4201,,,,,,,,,,,,,,,,,1057400.0,715500.0,0.192,0.6788
Boneo,3939,Mornington Peninsula,21,2025,5236.7,0.2024,,,,,,,,,,,,,,,,,,,,
Bonnie Brook,3335,Melton,313,2025,5388.3,-0.0,,,,,,,,,,,,,,,,,660040.0,,-1.2143,
Boronia,3155,Knox,1441,2025,4872.9,0.6882,Outer Eastern Melbourne,2025-09-30,400,500,600,520,590,680,560,-0.8511,-1.0,-0.9048,-0.7143,-0.7,-0.8947,-0.8,847480.0,665200.0,-0.551,0.2223
Botanic Ridge,3977,Casey,229,2025,5486.1,-0.1306,,,,,,,,,,,,,,,,,894500.0,,-0.3846,
Box Hill,3128,Whitehorse,1834,2025,5032.8,0.4747,Inner Eastern Melbourne,2025-09-30,490,610,710,540,650,808,610,1.0638,1.2,0.1429,-0.4286,-0.1,-0.2211,0.2,1692600.0,568140.0,2.44,-0.6584
Box Hill North,3129,Whitehorse,402,2025,5032.8,0.4747,,,,,,,,,,,,,,,,,1356300.0,910800.0,1.2498,2.451
Box Hill South,3128,Whitehorse,506,2025,5032.8,0.4747,,,,,,,,,,,,,,,,,1526100.0,920700.0,1.8507,2.5408
Braeside,3195,Kingston,227,2025,5702.9,-0.4201,,,,,,,,,,,,,,,,,,,,
Braybrook,3019,Maribyrnong,1277,2025,10545.5,-3.0,,,,,,,,,,,,,,,,,734600.0,621900.0,-0.9505,-0.1706
Briar Hill,3088,Banyule,71,2025,6137.2,-1.0,,,,,,,,,,,,,,,,,1003160.0,853100.0,0.0,1.9274
Brighton,3186,Bayside,1193,2025,4053.5,1.7823,Southern Melbourne,2025-09-30,498,680,1000,760,1150,1650,825,1.234,2.6,2.9048,2.7143,3.0,3.0,3.0,3501700.0,1367800.0,3.0,3.0
Brighton East,3187,Glen Eira,596,2025,3838.9,2.0689,Southern Melbourne,2025-09-30,265,630,738,690,940,1295,835,-3.0,1.6,0.4095,1.7143,2.8,2.3421,3.0,2192200.0,1273500.0,3.0,3.0
Broadmeadows,3047,Hume,2857,2025,6346.4,-1.2793,North Western Melbourne,2025-09-30,325,470,520,460,506,600,515,-2.4468,-1.6,-1.6667,-1.5714,-1.54,-1.3158,-1.7,599400.0,461200.0,-1.4289,-1.6289
Brookfield,3338,Melton,379,2025,5388.3,-0.0,,,,,,,,,,,,,,,,,556000.0,,-1.5825,
Brooklyn,3012,Hobsons Bay,324,2025,6402.7,-1.3545,,,,,,,,,,,,,,,,,817000.0,641760.0,-0.6588,0.0096
Brunswick,3056,Merri-bek,2311,2025,6119.2,-0.976,North Western Melbourne,2025-09-30,460,600,840,660,850,1000,600,0.4255,1.0,1.381,1.2857,1.9,0.7895,0.0,1285900.0,580300.0,1.0006,-0.5481
Brunswick East,3057,Merri-bek,820,2025,6119.2,-0.976,North Western Melbourne,2025-09-30,500,625,880,710,880,1100,600,1.2766,1.5,1.7619,2.0,2.2,1.3158,0.0,1425000.0,538900.0,1.4929,-0.9238
Brunswick West,3055,Merri-bek,995,2025,6119.2,-0.976,North Western Melbourne,2025-09-30,400,500,725,590,755,1000,480,-0.8511,-1.0,0.2857,0.2857,0.95,0.7895,-2.4,1341000.0,474800.0,1.1956,-1.5054
Bulla,3428,Hume,118,2025,6346.4,-1.2793,,,,,,,,,,,,,,,,,,,,
Bulleen,3105,Manningham,417,2025,3100.2,3.0,Inner Eastern Melbourne,2025-09-30,480,595,720,570,660,820,670,0.8511,0.9,0.2381,0.0,0.0,-0.1579,1.4,1339600.0,767800.0,1.1907,1.1534
Bundoora,3083,Whittlesea,2294,2025,5327.2,0.0816,North Eastern Melbourne,2025-09-30,420,490,580,500,570,600,560,-0.4255,-1.2,-1.0952,-1.0,-0.9,-1.3158,-0.8,879280.0,464140.0,-0.4384,-1.6022
Bunyip,3815,Cardinia,86,2025,4967.7,0.5616,,,,,,,,,,,,,,,,,731060.0,,-0.963,
Bunyip North,3815,Cardinia,4,2025,4967.7,0.5616,,,,,,,,,,,,,,,,,,,,
Burnley,3121,Yarra,178,2025,12460.7,-3.0,Inner Melbourne,2025-09-30,510,700,1000,750,990,1315,675,1.4894,3.0,2.9048,2.5714,3.0,2.4474,1.5,,,,
Burnside,3023,Melton,218,2025,5388.3,-0.0,,,,,,,,,,,,,,,,,776600.0,,-0.8018,
Burnside Heights,3023,Melton,133,2025,5388.3,-0.0,,,,,,,,,,,,,,,,,765600.0,,-0.8407,
Burwood,3125,Monash,804,2025,5566.4,-0.2378,Inner Eastern Melbourne,2025-09-30,450,570,720,580,650,878,650,0.2128,0.4,0.2381,0.1429,-0.1,0.1474,1.0,1455180.0,808620.0,1.5997,1.5238
Burwood East,3151,Whitehorse,780,2025,5032.8,0.4747,Inner Eastern Melbourne,2025-09-30,530,578,650,540,630,750,650,1.9149,0.56,-0.4286,-0.4286,-0.3,-0.5263,1.0,1301700.0,688200.0,1.0566,0.431
Cairnlea,3023,Brimbank,385,2025,7366.8,-2.6419,,,,,,,,,,,,,,,,,898080.0,408380.0,-0.3719,-2.1082
Calder Park,3037,Brimbank,33,2025,7366.8,-2.6419,,,,,,,,,,,,,,,,,,,,
Caldermeade,3984,Cardinia,46,2025,4967.7,0.5616,,,,,,,,,,,,,,,,,,,,
Cambarville,3779,Yarra Ranges,7,2025,3669.3,2.2954,,,,,,,,,,,,,,,,,,,,
Camberwell,3124,Boroondara,1152,2025,4447.7,1.256,Inner Eastern Melbourne,2025-09-30,440,600,815,660,838,1195,650,0.0,1.0,1.1429,1.2857,1.78,1.8158,1.0,2543200.0,893500.0,3.0,2.294
Campbellfield,3061,Hume,1253,2025,6346.4,-1.2793,,,,,,,,,,,,,,,,,624700.0,,-1.3394,
Cannons Creek,3977,Casey,34,2025,5486.1,-0.1306,,,,,,,,,,,,,,,,,,,,
Canterbury,3126,Boroondara,226,2025,4447.7,1.256,Inner Eastern Melbourne,2025-09-30,450,570,740,620,800,1100,678,0.2128,0.4,0.4286,0.7143,1.4,1.3158,1.56,3551380.0,1160080.0,3.0,3.0
Cape Schanck,3939,Mornington Peninsula,17,2025,5236.7,0.2024,,,,,,,,,,,,,,,,,1640500.0,,2.2556,
Capel Sound,3940,Mornington Peninsula,267,2025,5236.7,0.2024,,,,,,,,,,,,,,,,,729100.0,648400.0,-0.9699,0.0699
Cardinia,3978,Cardinia,44,2025,4967.7,0.5616,,,,,,,,,,,,,,,,,,,,
Carlton,3053,Melbourne,2673,2025,17671.9,-3.0,Inner Melbourne,2025-09-30,500,670,855,670,950,1100,620,1.2766,2.4,1.5238,1.4286,2.9,1.3158,0.4,1452500.0,395300.0,1.5902,-2.2269
Carlton North,3054,Yarra,441,2025,12460.7,-3.0,Inner Melbourne,2025-09-30,430,600,778,755,950,1225,760,-0.2128,1.0,0.7905,2.6429,2.9,1.9737,3.0,1665700.0,774900.0,2.3448,1.2178
Carnegie,3163,Glen Eira,818,2025,3838.9,2.0689,Southern Melbourne,2025-09-30,420,595,775,600,750,1100,570,-0.4255,0.9,0.7619,0.4286,0.9,1.3158,-0.6,1739500.0,635060.0,2.606,-0.0512
Caroline Springs,3023,Melton,981,2025,5388.3,-0.0,,,,,,,,,,,,,,,,,745300.0,500500.0,-0.9126,-1.2722
Carrum,3197,Kingston,206,2025,5702.9,-0.4201,Southern Melbourne,2025-09-30,435,545,675,550,680,870,620,-0.1064,-0.1,-0.1905,-0.2857,0.2,0.1053,0.4,1048700.0,798100.0,0.1612,1.4283
Carrum Downs,3201,Frankston,1759,2025,8866.5,-3.0,Mornington Peninsula,2025-09-30,380,470,560,490,560,660,560,-1.2766,-1.6,-1.2857,-1.1429,-1.0,-1.0,-0.8,733200.0,592000.0,-0.9554,-0.4419
Catani,3981,Cardinia,7,2025,4967.7,0.5616,,,,,,,,,,,,,,,,,,,,
Caulfield,3162,Glen Eira,292,2025,3838.9,2.0689,Southern Melbourne,2025-09-30,500,630,810,633,850,1250,650,1.2766,1.6,1.0952,0.9,1.9,2.1053,1.0,2276000.0,789020.0,3.0,1.3459
Caulfield East,3145,Glen Eira,311,2025,3838.9,2.0689,,,,,,,,,,,,,,,,,1736600.0,654640.0,2.5957,0.1265
Caulfield North,3161,Glen Eira,722,2025,3838.9,2.0689,,,,,,,,,,,,,,,,,2416000.0,659600.0,3.0,0.1715
Caulfield South,3162,Glen Eira,410,2025,3838.9,2.0689,,,,,,,,,,,,,,,,,1856700.0,964300.0,3.0,2.9365
Chadstone,3148,Monash,854,2025,5566.4,-0.2378,Inner Eastern Melbourne,2025-09-30,500,580,680,570,630,850,620,1.2766,0.6,-0.1429,0.0,-0.3,0.0,0.4,1217000.0,794000.0,0.7568,1.3911
Chelsea,3196,Kingston,541,2025,5702.9,-0.4201,Southern Melbourne,2025-09-30,435,545,675,550,680,870,620,-0.1064,-0.1,-0.1905,-0.2857,0.2,0.1053,0.4,1132920.0,710560.0,0.4592,0.6339
Chelsea Heights,3196,Kingston,276,2025,5702.9,-0.4201,,,,,,,,,,,,,,,,,954700.0,777400.0,-0.1715,1.2405
Cheltenham,3192,Kingston,1901,2025,5702.9,-0.4201,Southern Melbourne,2025-09-30,450,550,693,585,720,950,635,0.2128,0.0,-0.019,0.2143,0.6,0.5263,0.7,1307600.0,677500.0,1.0774,0.3339
Chirnside Park,3116,Yarra Ranges,673,2025,3669.3,2.2954,,,,,,,,,,,,,,,,,896100.0,693260.0,-0.3789,0.477
Christmas Hills,3775,Nillumbik,11,2025,2567.5,3.0,,,,,,,,,,,,,,,,,,,,
Chum Creek,3777,Yarra Ranges,11,2025,3669.3,2.2954,,,,,,,,,,,,,,,,,776400.0,,-0.8025,
Clarinda,3169,Kingston,256,2025,5702.9,-0.4201,,,,,,,,,,,,,,,,,1034300.0,768100.0,0.1102,1.1561
Clarkefield,3430,Hume,37,2025,6346.4,-1.2793,,,,,,,,,,,,,,,,,,,,
Clayton,3168,Monash,1914,2025,5566.4,-0.2378,Inner Eastern Melbourne,2025-09-30,490,590,650,550,603,800,600,1.0638,0.8,-0.4286,-0.2857,-0.57,-0.2632,0.0,1200600.0,722380.0,0.6988,0.7412
Clayton South,3169,Kingston,971,2025,5702.9,-0.4201,,,,,,,,,,,,,,,,,998180.0,595500.0,-0.0176,-0.4102
Clematis,3782,Cardinia,15,2025,4967.7,0.5616,,,,,,,,,,,,,,,,,890100.0,,-0.4001,
Clifton Hill,3068,Yarra,575,2025,12460.7,-3.0,Inner Melbourne,2025-09-30,500,690,1050,740,998,1295,725,1.2766,2.8,3.0,2.4286,3.0,2.3421,2.5,1652380.0,777000.0,2.2976,1.2368
Clyde,3978,Casey,901,2025,5486.1,-0.1306,,,,,,,,,,,,,,,,,693400.0,,-1.0963,
Clyde North,3978,Casey,1916,2025,5486.1,-0.1306,,,,,,,,,,,,,,,,,730560.0,563900.0,-0.9648,-0.6969
Cobblebank,3338,Melton,157,2025,5388.3,-0.0,,,,,,,,,,,,,,,,,627000.0,,-1.3313,
Coburg,3058,Merri-bek,2025,2025,6119.2,-0.976,North Western Melbourne,2025-09-30,425,550,700,580,710,850,600,-0.3191,0.0,0.0476,0.1429,0.5,0.0,0.0,1179200.0,632060.0,0.623,-0.0784
Coburg North,3058,Merri-bek,952,2025,6119.2,-0.976,North Western Melbourne,2025-09-30,280,500,628,540,620,785,550,-3.0,-1.0,-0.6381,-0.4286,-0.4,-0.3421,-1.0,1067400.0,707300.0,0.2273,0.6044
Cockatoo,3781,Cardinia,146,2025,4967.7,0.5616,,,,,,,,,,,,,,,,,707500.0,,-1.0464,
Cocoroc,3030,Wyndham,8,2025,5389.9,-0.0021,,,,,,,,,,,,,,,,,,,,
Coldstream,3770,Yarra Ranges,80,2025,3669.3,2.2954,,,,,,,,,,,,,,,,,835000.0,,-0.5951,
Collingwood,3066,Yarra,2134,2025,12460.7,-3.0,Inner Melbourne,2025-09-30,520,695,1000,720,950,1200,650,1.7021,2.9,2.9048,2.1429,2.9,1.8421,1.0,1238200.0,625100.0,0.8318,-0.1416
Coolaroo,3048,Hume,550,2025,6346.4,-1.2793,,,,,,,,,,,,,,,,,572340.0,,-1.5247,
Cora Lynn,3814,Cardinia,3,2025,4967.7,0.5616,,,,,,,,,,,,,,,,,,,,
Cottles Bridge,3099,Nillumbik,10,2025,2567.5,3.0,,,,,,,,,,,,,,,,,,,,
Craigieburn,3064,Hume,3283,2025,6346.4,-1.2793,North Western Melbourne,2025-09-30,,440,485,450,500,560,520,,-2.2,-2.0,-1.7143,-1.6,-1.5263,-1.6,670200.0,451260.0,-1.1784,-1.7191
Cranbourne,3977,Casey,3240,2025,5486.1,-0.1306,South Eastern Melbourne,2025-09-30,400,460,530,490,550,600,580,-0.8511,-1.8,-1.5714,-1.1429,-1.1,-1.3158,-0.4,673260.0,486800.0,-1.1675,-1.3966
Cranbourne East,3977,Casey,1095,2025,5486.1,-0.1306,,,,,,,,,,,,,,,,,720000.0,527540.0,-1.0021,-1.0269
Cranbourne North,3977,Casey,1265,2025,5486.1,-0.1306,,,,,,,,,,,,,,,,,738100.0,502460.0,-0.9381,-1.2544
Cranbourne South,3977,Casey,173,2025,5486.1,-0.1306,,,,,,,,,,,,,,,,,755200.0,,-0.8775,
Cranbourne West,3977,Casey,1115,2025,5486.1,-0.1306,,,,,,,,,,,,,,,,,690000.0,521040.0,-1.1083,-1.0858
Cremorne,3121,Yarra,384,2025,12460.7,-3.0,,,,,,,,,,,,,,,,,1271500.0,596200.0,0.9497,-0.4038
Crib Point,3919,Mornington Peninsula,169,2025,5236.7,0.2024,,,,,,,,,,,,,,,,,745000.0,564300.0,-0.9136,-0.6933
Croydon,3136,Maroondah,1588,2025,5643.1,-0.3402,Outer Eastern Melbourne,2025-09-30,363,500,620,525,600,730,600,-1.6383,-1.0,-0.7143,-0.6429,-0.6,-0.6316,0.0,899460.0,694700.0,-0.367,0.49
Croydon Hills,3136,Maroondah,65,2025,5643.1,-0.3402,,,,,,,,,,,,,,,,,1159240.0,,0.5524,
Croydon North,3136,Maroondah,171,2025,5643.1,-0.3402,,,,,,,,,,,,,,,,,1043100.0,724860.0,0.1414,0.7637
Croydon South,3136,Maroondah,154,2025,5643.1,-0.3402,,,,,,,,,,,,,,,,,918900.0,815080.0,-0.2982,1.5824
Dallas,3047,Hume,394,2025,6346.4,-1.2793,,,,,,,,,,,,,,,,,552400.0,433500.0,-1.5953,-1.8802
Dalmore,3981,Cardinia,13,2025,4967.7,0.5616,,,,,,,,,,,,,,,,,,,,
Dandenong,3175,Greater Dandenong,7406,2025,10169.3,-3.0,South Eastern Melbourne,2025-09-30,375,450,570,490,560,750,520,-1.383,-2.0,-1.1905,-1.1429,-1.0,-0.5263,-1.6,729500.0,417660.0,-0.9685,-2.024
Dandenong North,3175,Greater Dandenong,1235,2025,10169.3,-3.0,South Eastern Melbourne,2025-09-30,350,468,550,475,530,630,530,-1.9149,-1.64,-1.381,-1.3571,-1.3,-1.1579,-1.4,768000.0,583040.0,-0.8322,-0.5232
Dandenong South,3175,Greater Dandenong,1286,2025,10169.3,-3.0,,,,,,,,,,,,,,,,,,,,
Deanside,3336,Melton,270,2025,5388.3,-0.0,,,,,,,,,,,,,,,,,673100.0,,-1.1681,
Deepdene,3103,Boroondara,96,2025,4447.7,1.256,,,,,,,,,,,,,,,,,3361780.0,,3.0,
Deer Park,3023,Brimbank,1180,2025,7366.8,-2.6419,Outer Western Melbourne,2025-09-30,330,420,482,420,470,550,470,-2.3404,-2.6,-2.0286,-2.1429,-1.9,-1.5789,-2.6,668800.0,517460.0,-1.1833,-1.1183
Delahey,3037,Brimbank,249,2025,7366.8,-2.6419,,,,,,,,,,,,,,,,,662600.0,523960.0,-1.2053,-1.0593
