suburb,postcode,lga,crime_totalIncidents,crime_year,crime_offence1,crime_offence1_proportion,crime_offence2,crime_offence2_proportion,crime_offence3,crime_offence3_proportion,crime_offence4,crime_offence4_proportion,crime_offence5,crime_offence5_proportion,crimeLga_ratePer100k,crimeLga_melbourneRank,crimeLga_melbourneRankPercentile,rent_region,rent_period,rent_1brFlat,rent_2brFlat,rent_3brFlat,rent_2brHouse,rent_3brHouse,rent_4brHouse,rent_all,rent_1brFlat_rank,rent_2brFlat_rank,rent_3brFlat_rank,rent_2brHouse_rank,rent_3brHouse_rank,rent_4brHouse_rank,rent_all_rank,rent_1brFlat_percentile,rent_2brFlat_percentile,rent_3brFlat_percentile,rent_2brHouse_percentile,rent_3brHouse_percentile,rent_4brHouse_percentile,rent_all_percentile
Noble Park,3174,Greater Dandenong,2095,2025,B42 Steal from a motor vehicle,0.19,B49 Other theft,0.0902,E21 Breach family violence order,0.0854,B21 Criminal damage,0.0816,B41 Motor vehicle theft,0.0644,10169.3,5,87.1,South Eastern Melbourne,2025-09-30,370,495,580,480,550,630,520,31,35,46,42,42,55,34,66.7,65.7,54.5,57.7,58.2,43.2,67.0
Noble Park North,3174,Greater Dandenong,562,2025,B42 Steal from a motor vehicle,0.2242,B49 Other theft,0.1281,B322 Non-residential non-aggravated burglary,0.0712,E21 Breach family violence order,0.0676,B21 Criminal damage,0.0658,10169.3,5,87.1,,,,,,,,,,,,,,,,,,,,,,,
North Melbourne,3051,Melbourne,1908,2025,B42 Steal from a motor vehicle,0.2175,B49 Other theft,0.1116,B21 Criminal damage,0.077,B41 Motor vehicle theft,0.0655,B321 Residential non-aggravated burglary,0.0592,17671.9,1,100.0,Inner Melbourne,2025-09-30,525,660,882,650,853,1080,600,7,10,10,21,13,20,23,93.3,90.9,90.9,79.4,87.8,80.0,78.0
North Warrandyte,3113,Nillumbik,36,2025,E21 Breach family violence order,0.1667,A211 FV Serious assault,0.1389,B49 Other theft,0.1389,B42 Steal from a motor vehicle,0.1111,Other crimes against the person,0.0833,2567.5,31,3.2,,,,,,,,,,,,,,,,,,,,,,,
Northcote,3070,Darebin,1560,2025,B42 Steal from a motor vehicle,0.2372,B49 Other theft,0.1122,B41 Motor vehicle theft,0.0942,B43 Steal from a retail store,0.0814,B21 Criminal damage,0.0667,8504.0,8,77.4,North Eastern Melbourne,2025-09-30,420,600,850,700,850,1250,640,24,17,13,15,14,11,18,74.4,83.8,87.9,85.6,86.7,89.5,83.0
Notting Hill,3168,Monash,222,2025,B42 Steal from a motor vehicle,0.2748,B49 Other theft,0.1486,B21 Criminal damage,0.0811,B41 Motor vehicle theft,0.0811,B322 Non-residential non-aggravated burglary,0.0495,5566.4,17,48.4,,,,,,,,,,,,,,,,,,,,,,,
Nunawading,3131,Whitehorse,639,2025,B42 Steal from a motor vehicle,0.2019,B49 Other theft,0.0939,B43 Steal from a retail store,0.0845,B41 Motor vehicle theft,0.0767,B21 Criminal damage,0.072,5032.8,23,29.0,Inner Eastern Melbourne,2025-09-30,435,520,650,525,625,745,580,21,32,38,35,31,43,26,77.8,68.7,62.6,64.9,69.4,55.8,75.0
Nutfield,3099,Nillumbik,5,2025,B21 Criminal damage,0.4,A731 FV Threatening behaviour,0.2,Other crimes against the person,0.2,B49 Other theft,0.2,,,2567.5,31,3.2,,,,,,,,,,,,,,,,,,,,,,,
Nyora,3987,Cardinia,68,2025,E22 Breach intervention order,0.1618,E21 Breach family violence order,0.1471,B41 Motor vehicle theft,0.1176,B322 Non-residential non-aggravated burglary,0.1029,B21 Criminal damage,0.1029,4967.7,24,25.8,,,,,,,,,,,,,,,,,,,,,,,
Oak Park,3046,Merri-bek,232,2025,B42 Steal from a motor vehicle,0.2414,E21 Breach family violence order,0.0905,B49 Other theft,0.0862,B21 Criminal damage,0.0647,B321 Residential non-aggravated burglary,0.0647,6119.2,14,58.1,North Western Melbourne,2025-09-30,385,490,600,500,551,660,530,28,37,44,39,41,53,32,70.0,63.6,56.6,60.8,59.2,45.3,69.0
Oaklands Junction,3063,Hume,33,2025,B42 Steal from a motor vehicle,0.1515,B49 Other theft,0.1515,B11 Cause damage by fire,0.1212,B41 Motor vehicle theft,0.1212,B21 Criminal damage,0.0909,6346.4,11,67.7,,,,,,,,,,,,,,,,,,,,,,,
Oakleigh,3166,Monash,1480,2025,B43 Steal from a retail store,0.2,B42 Steal from a motor vehicle,0.1689,B49 Other theft,0.1074,B21 Criminal damage,0.0655,B41 Motor vehicle theft,0.0622,5566.4,17,48.4,Inner Eastern Melbourne,2025-09-30,500,580,680,570,630,850,620,10,21,34,30,30,32,21,90.0,79.8,66.7,70.1,70.4,67.4,80.0
Oakleigh East,3166,Monash,249,2025,B42 Steal from a motor vehicle,0.3253,B49 Other theft,0.1004,B41 Motor vehicle theft,0.0683,E21 Breach family violence order,0.0562,B21 Criminal damage,0.0522,5566.4,17,48.4,,,,,,,,,,,,,,,,,,,,,,,
Oakleigh South,3167,Monash,535,2025,B42 Steal from a motor vehicle,0.2243,B43 Steal from a retail store,0.1364,B49 Other theft,0.0953,B21 Criminal damage,0.071,B41 Motor vehicle theft,0.0617,5566.4,17,48.4,,,,,,,,,,,,,,,,,,,,,,,
Officer South,3809,Cardinia,25,2025,B42 Steal from a motor vehicle,0.28,B49 Other theft,0.16,B53 Obtain benefit by deception,0.16,A231 FV Common assault,0.04,B11 Cause damage by fire,0.04,4967.7,24,25.8,,,,,,,,,,,,,,,,,,,,,,,
Olinda,3788,Yarra Ranges,73,2025,B21 Criminal damage,0.137,B42 Steal from a motor vehicle,0.1233,B321 Residential non-aggravated burglary,0.1096,B322 Non-residential non-aggravated burglary,0.0959,E21 Breach family violence order,0.0822,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Ormond,3204,Glen Eira,242,2025,B42 Steal from a motor vehicle,0.2355,B49 Other theft,0.095,B21 Criminal damage,0.0868,B321 Residential non-aggravated burglary,0.062,B53 Obtain benefit by deception,0.0579,3838.9,28,12.9,,,,,,,,,,,,,,,,,,,,,,,
Pakenham South,3810,Cardinia,13,2025,B321 Residential non-aggravated burglary,0.3077,B49 Other theft,0.2308,A211 FV Serious assault,0.1538,B42 Steal from a motor vehicle,0.1538,B53 Obtain benefit by deception,0.1538,4967.7,24,25.8,,,,,,,,,,,,,,,,,,,,,,,
Pakenham Upper,3810,Cardinia,26,2025,B49 Other theft,0.2692,A211 FV Serious assault,0.0769,B21 Criminal damage,0.0769,B321 Residential non-aggravated burglary,0.0769,B42 Steal from a motor vehicle,0.0769,4967.7,24,25.8,,,,,,,,,,,,,,,,,,,,,,,
Panton Hill,3759,Nillumbik,14,2025,B42 Steal from a motor vehicle,0.2143,B49 Other theft,0.2143,B321 Residential non-aggravated burglary,0.1429,E21 Breach family violence order,0.1429,A231 FV Common assault,0.0714,2567.5,31,3.2,,,,,,,,,,,,,,,,,,,,,,,
Park Orchards,3114,Maroondah,64,2025,B42 Steal from a motor vehicle,0.2188,B321 Residential non-aggravated burglary,0.1719,B311 Residential aggravated burglary,0.1094,B53 Obtain benefit by deception,0.0781,C32 Drug possession,0.0625,5643.1,16,51.6,,,,,,,,,,,,,,,,,,,,,,,
Parkdale,3195,Kingston,372,2025,B42 Steal from a motor vehicle,0.1452,B49 Other theft,0.1102,B21 Criminal damage,0.0995,B43 Steal from a retail store,0.0833,B53 Obtain benefit by deception,0.0753,5702.9,15,54.8,Southern Melbourne,2025-09-30,405,550,720,600,750,910,580,25,26,28,24,19,28,26,73.3,74.7,72.7,76.3,81.6,71.6,75.0
Parkville,3052,Melbourne,985,2025,B42 Steal from a motor vehicle,0.2701,B49 Other theft,0.133,B44 Theft of a bicycle,0.1127,B41 Motor vehicle theft,0.0731,B21 Criminal damage,0.069,17671.9,1,100.0,Inner Melbourne,2025-09-30,500,670,855,670,950,1100,620,10,9,12,18,9,19,21,90.0,91.9,88.9,82.5,91.8,81.1,80.0
Parwan,3340,Melton,51,2025,B42 Steal from a motor vehicle,0.1765,B41 Motor vehicle theft,0.1569,B21 Criminal damage,0.1569,B49 Other theft,0.1176,B11 Cause damage by fire,0.0588,5388.3,20,38.7,,,,,,,,,,,,,,,,,,,,,,,
Pascoe Vale,3044,Merri-bek,848,2025,B42 Steal from a motor vehicle,0.2983,B49 Other theft,0.0767,B21 Criminal damage,0.0708,E21 Breach family violence order,0.066,B321 Residential non-aggravated burglary,0.0625,6119.2,14,58.1,North Western Melbourne,2025-09-30,280,500,628,540,620,785,550,40,34,40,32,32,39,30,56.7,66.7,60.6,68.0,68.4,60.0,71.0
Pascoe Vale South,3044,Merri-bek,468,2025,B42 Steal from a motor vehicle,0.3355,B49 Other theft,0.109,B321 Residential non-aggravated burglary,0.0833,B41 Motor vehicle theft,0.0662,B21 Criminal damage,0.062,6119.2,14,58.1,North Western Melbourne,2025-09-30,425,550,700,580,710,850,600,23,26,30,28,23,32,23,75.6,74.7,70.7,72.2,77.6,67.4,78.0
Patterson Lakes,3197,Kingston,332,2025,B42 Steal from a motor vehicle,0.241,E21 Breach family violence order,0.0723,B49 Other theft,0.0663,B53 Obtain benefit by deception,0.0663,B21 Criminal damage,0.0633,5702.9,15,54.8,,,,,,,,,,,,,,,,,,,,,,,
Pearcedale,3912,Mornington Peninsula,116,2025,B42 Steal from a motor vehicle,0.1552,B41 Motor vehicle theft,0.0948,B49 Other theft,0.0862,B43 Steal from a retail store,0.0776,B53 Obtain benefit by deception,0.0776,5236.7,22,32.3,,,,,,,,,,,,,,,,,,,,,,,
Plenty,3090,Nillumbik,111,2025,B49 Other theft,0.2523,B311 Residential aggravated burglary,0.1441,B42 Steal from a motor vehicle,0.1441,B321 Residential non-aggravated burglary,0.1171,B53 Obtain benefit by deception,0.045,2567.5,31,3.2,,,,,,,,,,,,,,,,,,,,,,,
Plumpton,3335,Melton,8,2025,B322 Non-residential non-aggravated burglary,0.25,B42 Steal from a motor vehicle,0.25,A232 Non-FV Common assault,0.125,B21 Criminal damage,0.125,B49 Other theft,0.125,5388.3,20,38.7,,,,,,,,,,,,,,,,,,,,,,,
Point Cook,3030,Wyndham,2432,2025,B42 Steal from a motor vehicle,0.1661,B49 Other theft,0.1262,B43 Steal from a retail store,0.1225,B21 Criminal damage,0.0658,B311 Residential aggravated burglary,0.0617,5389.9,19,41.9,,,,,,,,,,,,,,,,,,,,,,,
Point Leo,3916,Mornington Peninsula,7,2025,C32 Drug possession,0.2857,A212 Non-FV Serious assault,0.1429,A231 FV Common assault,0.1429,B321 Residential non-aggravated burglary,0.1429,B322 Non-residential non-aggravated burglary,0.1429,5236.7,22,32.3,,,,,,,,,,,,,,,,,,,,,,,
Port Melbourne,3207,Port Phillip,2403,2025,B42 Steal from a motor vehicle,0.273,B41 Motor vehicle theft,0.1003,B49 Other theft,0.0978,B21 Criminal damage,0.0724,B322 Non-residential non-aggravated burglary,0.0533,11004.1,3,93.5,Inner Melbourne,2025-09-30,550,745,1175,740,980,1125,795,3,3,2,10,7,16,3,97.8,98.0,99.0,90.7,93.9,84.2,98.0
Portsea,3944,Mornington Peninsula,30,2025,B42 Steal from a motor vehicle,0.2,B21 Criminal damage,0.1333,B49 Other theft,0.1333,B311 Residential aggravated burglary,0.1,B322 Non-residential non-aggravated burglary,0.1,5236.7,22,32.3,Mornington Peninsula,2025-09-30,393,478,600,490,570,745,595,27,38,44,41,39,43,24,71.1,62.6,56.6,58.8,61.2,55.8,77.0
Powelltown,3797,Yarra Ranges,5,2025,A231 FV Common assault,0.2,A81 Dangerous driving,0.2,A89 Other dangerous or negligent acts endangering people,0.2,Other crimes against the person,0.2,C32 Drug possession,0.2,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Preston,3072,Darebin,5014,2025,B42 Steal from a motor vehicle,0.1903,B43 Steal from a retail store,0.1466,B49 Other theft,0.088,B21 Criminal damage,0.074,B41 Motor vehicle theft,0.0505,8504.0,8,77.4,North Eastern Melbourne,2025-09-30,440,550,695,588,675,925,560,20,26,32,26,26,27,29,78.9,74.7,68.7,74.2,74.5,72.6,72.0
Princes Hill,3054,Yarra,236,2025,B42 Steal from a motor vehicle,0.3644,B21 Criminal damage,0.0805,B44 Theft of a bicycle,0.072,B49 Other theft,0.0678,B41 Motor vehicle theft,0.0636,12460.7,2,96.8,,,,,,,,,,,,,,,,,,,,,,,
Quandong,3340,Wyndham,17,2025,B49 Other theft,0.4118,B11 Cause damage by fire,0.1765,B42 Steal from a motor vehicle,0.1765,A212 Non-FV Serious assault,0.0588,B21 Criminal damage,0.0588,5389.9,19,41.9,,,,,,,,,,,,,,,,,,,,,,,
Ravenhall,3023,Melton,553,2025,B42 Steal from a motor vehicle,0.2712,B49 Other theft,0.1573,B41 Motor vehicle theft,0.1555,B322 Non-residential non-aggravated burglary,0.0814,B21 Criminal damage,0.0741,5388.3,20,38.7,,,,,,,,,,,,,,,,,,,,,,,
Red Hill,3937,Mornington Peninsula,18,2025,B321 Residential non-aggravated burglary,0.1667,B322 Non-residential non-aggravated burglary,0.1667,A211 FV Serious assault,0.1111,B21 Criminal damage,0.1111,B49 Other theft,0.1111,5236.7,22,32.3,,,,,,,,,,,,,,,,,,,,,,,
Red Hill South,3937,Mornington Peninsula,6,2025,B321 Residential non-aggravated burglary,0.3333,B21 Criminal damage,0.1667,B42 Steal from a motor vehicle,0.1667,B53 Obtain benefit by deception,0.1667,D35 Improper movement on public or private space,0.1667,5236.7,22,32.3,,,,,,,,,,,,,,,,,,,,,,,
Reefton,3799,Yarra Ranges,11,2025,B19 Other fire related offences,0.2727,B21 Criminal damage,0.1818,B322 Non-residential non-aggravated burglary,0.1818,B49 Other theft,0.1818,B321 Residential non-aggravated burglary,0.0909,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Research,3095,Nillumbik,55,2025,B42 Steal from a motor vehicle,0.3091,B49 Other theft,0.1273,B322 Non-residential non-aggravated burglary,0.1091,E21 Breach family violence order,0.1091,B311 Residential aggravated burglary,0.0727,2567.5,31,3.2,North Eastern Melbourne,2025-09-30,360,500,620,500,650,813,640,34,34,42,39,28,35,18,63.3,66.7,58.6,60.8,72.4,64.2,83.0
Reservoir,3073,Darebin,4144,2025,B42 Steal from a motor vehicle,0.2145,B21 Criminal damage,0.0934,B49 Other theft,0.0866,E21 Breach family violence order,0.0678,B321 Residential non-aggravated burglary,0.0647,8504.0,8,77.4,North Eastern Melbourne,2025-09-30,400,500,620,500,560,700,530,26,34,42,39,40,48,32,72.2,66.7,58.6,60.8,60.2,50.5,69.0
Richmond,3121,Yarra,3863,2025,B42 Steal from a motor vehicle,0.1781,B49 Other theft,0.1103,B43 Steal from a retail store,0.096,B21 Criminal damage,0.0689,B322 Non-residential non-aggravated burglary,0.0492,12460.7,2,96.8,Inner Melbourne,2025-09-30,510,700,1000,750,990,1315,675,9,5,6,9,6,8,15,91.1,96.0,94.9,91.8,94.9,92.6,86.0
Ringwood,3134,Maroondah,2937,2025,E23 Breach bail conditions,0.1948,B43 Steal from a retail store,0.1141,B42 Steal from a motor vehicle,0.1096,B49 Other theft,0.0769,B21 Criminal damage,0.0521,5643.1,16,51.6,Outer Eastern Melbourne,2025-09-30,440,520,620,520,600,710,560,20,32,42,36,34,47,29,78.9,68.7,58.6,63.9,66.3,51.6,72.0
Ringwood East,3135,Maroondah,489,2025,B42 Steal from a motor vehicle,0.2106,B49 Other theft,0.1022,B321 Residential non-aggravated burglary,0.0716,B21 Criminal damage,0.0675,B41 Motor vehicle theft,0.0593,5643.1,16,51.6,,,,,,,,,,,,,,,,,,,,,,,
Ringwood North,3134,Maroondah,223,2025,B42 Steal from a motor vehicle,0.278,B321 Residential non-aggravated burglary,0.0942,B49 Other theft,0.0897,B53 Obtain benefit by deception,0.0717,B21 Criminal damage,0.0628,5643.1,16,51.6,,,,,,,,,,,,,,,,,,,,,,,
Ripponlea,3185,Port Phillip,98,2025,B42 Steal from a motor vehicle,0.2449,B321 Residential non-aggravated burglary,0.102,B49 Other theft,0.102,B44 Theft of a bicycle,0.0918,B41 Motor vehicle theft,0.0714,11004.1,3,93.5,,,,,,,,,,,,,,,,,,,,,,,
Rockbank,3335,Melton,559,2025,B49 Other theft,0.4669,B42 Steal from a motor vehicle,0.1467,B321 Residential non-aggravated burglary,0.0411,B41 Motor vehicle theft,0.0394,B21 Criminal damage,0.0322,5388.3,20,38.7,,,,,,,,,,,,,,,,,,,,,,,
Rosanna,3084,Banyule,291,2025,B42 Steal from a motor vehicle,0.2543,B21 Criminal damage,0.0859,B49 Other theft,0.0859,B321 Residential non-aggravated burglary,0.0825,B41 Motor vehicle theft,0.0687,6137.2,13,61.3,,,,,,,,,,,,,,,,,,,,,,,
Rosebud,3939,Mornington Peninsula,1373,2025,B43 Steal from a retail store,0.1333,E21 Breach family violence order,0.0998,B42 Steal from a motor vehicle,0.0881,B21 Criminal damage,0.0808,B49 Other theft,0.0736,5236.7,22,32.3,,,,,,,,,,,,,,,,,,,,,,,
Rowville,3178,Knox,1195,2025,B42 Steal from a motor vehicle,0.1632,B49 Other theft,0.1297,B43 Steal from a retail store,0.087,E21 Breach family violence order,0.0711,B21 Criminal damage,0.0678,4872.9,25,22.6,Outer Eastern Melbourne,2025-09-30,,530,628,550,600,725,650,,30,40,31,34,45,17,,70.7,60.6,69.1,66.3,53.7,84.0
Roxburgh Park,3064,Hume,950,2025,B42 Steal from a motor vehicle,0.1642,B21 Criminal damage,0.0842,E21 Breach family violence order,0.0821,B41 Motor vehicle theft,0.0674,B49 Other theft,0.0579,6346.4,11,67.7,North Western Melbourne,2025-09-30,325,470,520,460,506,600,515,37,40,53,45,45,57,35,60.0,60.6,47.5,54.6,55.1,41.1,66.0
Rye,3941,Mornington Peninsula,431,2025,B321 Residential non-aggravated burglary,0.1206,E21 Breach family violence order,0.1206,B21 Criminal damage,0.0858,B49 Other theft,0.0719,B42 Steal from a motor vehicle,0.065,5236.7,22,32.3,,,,,,,,,,,,,,,,,,,,,,,
Rythdale,3810,Cardinia,5,2025,B42 Steal from a motor vehicle,0.6,B11 Cause damage by fire,0.2,B321 Residential non-aggravated burglary,0.2,,,,,4967.7,24,25.8,,,,,,,,,,,,,,,,,,,,,,,
Safety Beach,3936,Mornington Peninsula,280,2025,B42 Steal from a motor vehicle,0.1643,B49 Other theft,0.1107,E21 Breach family violence order,0.1107,B321 Residential non-aggravated burglary,0.0643,B311 Residential aggravated burglary,0.0536,5236.7,22,32.3,,,,,,,,,,,,,,,,,,,,,,,
Sandhurst,3977,Frankston,118,2025,B42 Steal from a motor vehicle,0.2712,B311 Residential aggravated burglary,0.161,E21 Breach family violence order,0.0847,B53 Obtain benefit by deception,0.0763,B41 Motor vehicle theft,0.0593,8866.5,7,80.6,,,,,,,,,,,,,,,,,,,,,,,
Sandringham,3191,Bayside,455,2025,B42 Steal from a motor vehicle,0.1604,B21 Criminal damage,0.0901,B49 Other theft,0.0901,B43 Steal from a retail store,0.0725,E21 Breach family violence order,0.0681,4053.5,27,16.1,,,,,,,,,,,,,,,,,,,,,,,
Sassafras,3787,Yarra Ranges,26,2025,E21 Breach family violence order,0.2692,B322 Non-residential non-aggravated burglary,0.1923,Other crimes against the person,0.1538,B21 Criminal damage,0.0769,A232 Non-FV Common assault,0.0385,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Scoresby,3179,Knox,359,2025,B42 Steal from a motor vehicle,0.1727,B49 Other theft,0.1281,B21 Criminal damage,0.0669,B53 Obtain benefit by deception,0.0613,B43 Steal from a retail store,0.0529,4872.9,25,22.6,Outer Eastern Melbourne,2025-09-30,287,510,610,550,597,700,620,39,33,43,31,35,48,21,57.8,67.7,57.6,69.1,65.3,50.5,80.0
Seabrook,3028,Hobsons Bay,120,2025,B42 Steal from a motor vehicle,0.1667,B49 Other theft,0.1417,B21 Criminal damage,0.1167,B41 Motor vehicle theft,0.0583,A231 FV Common assault,0.05,6402.7,10,71.0,,,,,,,,,,,,,,,,,,,,,,,
Seaford,3198,Frankston,1911,2025,B42 Steal from a motor vehicle,0.1847,B21 Criminal damage,0.0963,B49 Other theft,0.0963,E21 Breach family violence order,0.0774,B41 Motor vehicle theft,0.045,8866.5,7,80.6,Mornington Peninsula,2025-09-30,380,470,560,490,560,660,560,29,40,48,41,40,53,29,68.9,60.6,52.5,58.8,60.2,45.3,72.0
Seaholme,3018,Hobsons Bay,102,2025,B49 Other theft,0.1863,B42 Steal from a motor vehicle,0.1569,B321 Residential non-aggravated burglary,0.0686,E21 Breach family violence order,0.0686,B41 Motor vehicle theft,0.0588,6402.7,10,71.0,,,,,,,,,,,,,,,,,,,,,,,
Seddon,3011,Maribyrnong,380,2025,B42 Steal from a motor vehicle,0.2842,B49 Other theft,0.1026,B21 Criminal damage,0.0974,B41 Motor vehicle theft,0.0737,E21 Breach family violence order,0.0421,10545.5,4,90.3,Outer Western Melbourne,2025-09-30,393,520,730,600,720,850,620,27,32,26,24,22,32,21,71.1,68.7,74.7,76.3,78.6,67.4,80.0
Selby,3159,Yarra Ranges,41,2025,E22 Breach intervention order,0.2927,B42 Steal from a motor vehicle,0.1463,A231 FV Common assault,0.0976,B321 Residential non-aggravated burglary,0.0732,B311 Residential aggravated burglary,0.0488,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Seville,3139,Yarra Ranges,69,2025,B21 Criminal damage,0.1449,B42 Steal from a motor vehicle,0.1014,E21 Breach family violence order,0.1014,B49 Other theft,0.087,B43 Steal from a retail store,0.058,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Seville East,3139,Yarra Ranges,14,2025,E21 Breach family violence order,0.3571,B21 Criminal damage,0.2143,A231 FV Common assault,0.0714,A81 Dangerous driving,0.0714,A89 Other dangerous or negligent acts endangering people,0.0714,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Sherbrooke,3789,Yarra Ranges,9,2025,B49 Other theft,0.4444,A89 Other dangerous or negligent acts endangering people,0.1111,B11 Cause damage by fire,0.1111,B22 Graffiti,0.1111,B321 Residential non-aggravated burglary,0.1111,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Shoreham,3916,Mornington Peninsula,18,2025,B42 Steal from a motor vehicle,0.2778,B41 Motor vehicle theft,0.1667,B311 Residential aggravated burglary,0.1111,B321 Residential non-aggravated burglary,0.1111,B49 Other theft,0.1111,5236.7,22,32.3,,,,,,,,,,,,,,,,,,,,,,,
Silvan,3795,Yarra Ranges,44,2025,B21 Criminal damage,0.1818,Other crimes against the person,0.1136,A211 FV Serious assault,0.0909,A212 Non-FV Serious assault,0.0682,A231 FV Common assault,0.0682,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Skye,3977,Frankston,327,2025,B42 Steal from a motor vehicle,0.1988,E21 Breach family violence order,0.1223,B21 Criminal damage,0.1162,B49 Other theft,0.0703,B41 Motor vehicle theft,0.0581,8866.5,7,80.6,,,,,,,,,,,,,,,,,,,,,,,
Smiths Gully,3760,Nillumbik,3,2025,B49 Other theft,0.6667,B321 Residential non-aggravated burglary,0.3333,,,,,,,2567.5,31,3.2,,,,,,,,,,,,,,,,,,,,,,,
Somers,3927,Mornington Peninsula,72,2025,B42 Steal from a motor vehicle,0.2778,E21 Breach family violence order,0.1389,B21 Criminal damage,0.1111,B321 Residential non-aggravated burglary,0.0972,B49 Other theft,0.0694,5236.7,22,32.3,,,,,,,,,,,,,,,,,,,,,,,
Somerton,3062,Hume,298,2025,B41 Motor vehicle theft,0.2349,B49 Other theft,0.2215,B42 Steal from a motor vehicle,0.1913,B21 Criminal damage,0.0738,B322 Non-residential non-aggravated burglary,0.0537,6346.4,11,67.7,,,,,,,,,,,,,,,,,,,,,,,
Somerville,3912,Mornington Peninsula,513,2025,B42 Steal from a motor vehicle,0.1481,B43 Steal from a retail store,0.1481,B21 Criminal damage,0.0819,E21 Breach family violence order,0.0741,B49 Other theft,0.0546,5236.7,22,32.3,,,,,,,,,,,,,,,,,,,,,,,
Sorrento,3943,Mornington Peninsula,138,2025,B49 Other theft,0.1667,B21 Criminal damage,0.1014,B42 Steal from a motor vehicle,0.0797,B321 Residential non-aggravated burglary,0.0725,E21 Breach family violence order,0.0725,5236.7,22,32.3,,,,,,,,,,,,,,,,,,,,,,,
South Kingsville,3015,Hobsons Bay,81,2025,B42 Steal from a motor vehicle,0.2346,B41 Motor vehicle theft,0.1358,B21 Criminal damage,0.0864,B49 Other theft,0.0864,A232 Non-FV Common assault,0.0741,6402.7,10,71.0,,,,,,,,,,,,,,,,,,,,,,,
South Melbourne,3205,Port Phillip,2856,2025,B42 Steal from a motor vehicle,0.2013,B43 Steal from a retail store,0.119,B49 Other theft,0.083,B21 Criminal damage,0.0721,B322 Non-residential non-aggravated burglary,0.0553,11004.1,3,93.5,Inner Melbourne,2025-09-30,548,700,950,750,950,,650,4,5,7,9,9,,17,96.7,96.0,93.9,91.8,91.8,,84.0
South Morang,3752,Whittlesea,1086,2025,B42 Steal from a motor vehicle,0.2136,B49 Other theft,0.0829,E21 Breach family violence order,0.0829,B21 Criminal damage,0.0718,B43 Steal from a retail store,0.0691,5327.2,21,35.5,,,,,,,,,,,,,,,,,,,,,,,
South Wharf,3006,Port Phillip,376,2025,B49 Other theft,0.2048,B43 Steal from a retail store,0.1729,B42 Steal from a motor vehicle,0.1596,B41 Motor vehicle theft,0.0718,B322 Non-residential non-aggravated burglary,0.0665,11004.1,3,93.5,,,,,,,,,,,,,,,,,,,,,,,
South Yarra,3141,Stonnington,2889,2025,B42 Steal from a motor vehicle,0.2676,B49 Other theft,0.0962,B21 Criminal damage,0.0848,B321 Residential non-aggravated burglary,0.0633,B322 Non-residential non-aggravated burglary,0.0512,9532.0,6,83.9,Inner Melbourne,2025-09-30,500,700,1100,780,1100,1700,620,10,5,3,5,3,3,21,90.0,96.0,98.0,95.9,98.0,97.9,80.0
Southbank,3006,Port Phillip,3771,2025,B42 Steal from a motor vehicle,0.2586,B49 Other theft,0.1268,B41 Motor vehicle theft,0.0774,B43 Steal from a retail store,0.0716,B21 Criminal damage,0.0602,11004.1,3,93.5,Inner Melbourne,2025-09-30,570,720,1010,,,,680,2,4,5,,,,13,98.9,97.0,96.0,,,,88.0
Spotswood,3015,Hobsons Bay,424,2025,B42 Steal from a motor vehicle,0.2288,B43 Steal from a retail store,0.2217,B49 Other theft,0.0802,B41 Motor vehicle theft,0.066,B21 Criminal damage,0.0519,6402.7,10,71.0,Outer Western Melbourne,2025-09-30,455,575,725,580,700,925,620,17,23,27,28,24,27,21,82.2,77.8,73.7,72.2,76.5,72.6,80.0
Springvale,3171,Greater Dandenong,2514,2025,B42 Steal from a motor vehicle,0.171,B49 Other theft,0.0891,B43 Steal from a retail store,0.0807,B21 Criminal damage,0.0712,C32 Drug possession,0.0668,10169.3,5,87.1,South Eastern Melbourne,2025-09-30,370,520,650,510,570,683,570,31,32,38,38,39,49,27,66.7,68.7,62.6,61.9,61.2,49.5,74.0
Springvale South,3172,Greater Dandenong,532,2025,B42 Steal from a motor vehicle,0.1541,B49 Other theft,0.1071,B21 Criminal damage,0.0996,E21 Breach family violence order,0.0883,A231 FV Common assault,0.062,10169.3,5,87.1,,,,,,,,,,,,,,,,,,,,,,,
St Albans,3021,Brimbank,3173,2025,B42 Steal from a motor vehicle,0.2045,B49 Other theft,0.0824,B21 Criminal damage,0.0818,B41 Motor vehicle theft,0.0622,E21 Breach family violence order,0.0527,7366.8,9,74.2,Outer Western Melbourne,2025-09-30,330,420,482,420,470,550,470,36,45,57,48,50,62,39,61.1,55.6,43.4,51.5,50.0,35.8,62.0
