suburb,postcode,lga,crime_totalIncidents,crime_year,crime_offence1,crime_offence1_proportion,crime_offence2,crime_offence2_proportion,crime_offence3,crime_offence3_proportion,crime_offence4,crime_offence4_proportion,crime_offence5,crime_offence5_proportion,crimeLga_ratePer100k,crimeLga_melbourneRank,crimeLga_melbourneRankPercentile,rent_region,rent_period,rent_1brFlat,rent_2brFlat,rent_3brFlat,rent_2brHouse,rent_3brHouse,rent_4brHouse,rent_all,rent_1brFlat_rank,rent_2brFlat_rank,rent_3brFlat_rank,rent_2brHouse_rank,rent_3brHouse_rank,rent_4brHouse_rank,rent_all_rank,rent_1brFlat_percentile,rent_2brFlat_percentile,rent_3brFlat_percentile,rent_2brHouse_percentile,rent_3brHouse_percentile,rent_4brHouse_percentile,rent_all_percentile
Brunswick,3056,Merri-bek,2311,2025,B42 Steal from a motor vehicle,0.1947,B49 Other theft,0.1229,B43 Steal from a retail store,0.0995,B44 Theft of a bicycle,0.0701,B21 Criminal damage,0.0645,6119.2,14,58.1,North Western Melbourne,2025-09-30,460,600,840,660,850,1000,600,16,17,14,20,14,23,23,83.3,83.8,86.9,80.4,86.7,76.8,78.0
Brunswick East,3057,Merri-bek,820,2025,B42 Steal from a motor vehicle,0.2178,B49 Other theft,0.1121,B44 Theft of a bicycle,0.093,B41 Motor vehicle theft,0.0854,B21 Criminal damage,0.0777,6119.2,14,58.1,,,,,,,,,,,,,,,,,,,,,,,
Brunswick West,3055,Merri-bek,995,2025,B42 Steal from a motor vehicle,0.2704,B49 Other theft,0.1196,B321 Residential non-aggravated burglary,0.0643,B41 Motor vehicle theft,0.0633,B21 Criminal damage,0.0623,6119.2,14,58.1,,,,,,,,,,,,,,,,,,,,,,,
Bulla,3428,Hume,118,2025,B49 Other theft,0.2034,B21 Criminal damage,0.1271,B41 Motor vehicle theft,0.1186,B42 Steal from a motor vehicle,0.0932,A231 FV Common assault,0.0593,6346.4,11,67.7,,,,,,,,,,,,,,,,,,,,,,,
Bulleen,3105,Manningham,417,2025,B42 Steal from a motor vehicle,0.1719,B49 Other theft,0.138,B43 Steal from a retail store,0.1259,B21 Criminal damage,0.0726,B321 Residential non-aggravated burglary,0.0654,3100.2,30,6.5,Inner Eastern Melbourne,2025-09-30,480,595,720,570,660,820,670,13,18,28,30,27,34,16,86.7,82.8,72.7,70.1,73.5,65.3,85.0
Bundoora,3083,Whittlesea,2294,2025,B42 Steal from a motor vehicle,0.2437,B43 Steal from a retail store,0.1181,B49 Other theft,0.0867,B41 Motor vehicle theft,0.0724,B321 Residential non-aggravated burglary,0.0567,5327.2,21,35.5,North Eastern Melbourne,2025-09-30,420,490,580,500,570,600,560,24,37,46,39,39,57,29,74.4,63.6,54.5,60.8,61.2,41.1,72.0
Bunyip,3815,Cardinia,86,2025,B322 Non-residential non-aggravated burglary,0.1163,E21 Breach family violence order,0.1163,B41 Motor vehicle theft,0.1047,Other crimes against the person,0.0698,B42 Steal from a motor vehicle,0.0698,4967.7,24,25.8,,,,,,,,,,,,,,,,,,,,,,,
Bunyip North,3815,Cardinia,4,2025,B42 Steal from a motor vehicle,0.25,B49 Other theft,0.25,C32 Drug possession,0.25,E13 Resist or hinder officer,0.25,,,4967.7,24,25.8,,,,,,,,,,,,,,,,,,,,,,,
Burnley,3121,Yarra,178,2025,B42 Steal from a motor vehicle,0.2135,B22 Graffiti,0.1292,E13 Resist or hinder officer,0.1292,B21 Criminal damage,0.0787,B49 Other theft,0.0562,12460.7,2,96.8,Inner Melbourne,2025-09-30,510,700,1000,750,990,1315,675,9,5,6,9,6,8,15,91.1,96.0,94.9,91.8,94.9,92.6,86.0
Burnside,3023,Melton,218,2025,B49 Other theft,0.2523,B42 Steal from a motor vehicle,0.1376,B21 Criminal damage,0.0963,B53 Obtain benefit by deception,0.0505,B43 Steal from a retail store,0.0459,5388.3,20,38.7,,,,,,,,,,,,,,,,,,,,,,,
Burnside Heights,3023,Melton,133,2025,B42 Steal from a motor vehicle,0.1955,B41 Motor vehicle theft,0.1278,B21 Criminal damage,0.0752,A231 FV Common assault,0.0677,B53 Obtain benefit by deception,0.0677,5388.3,20,38.7,,,,,,,,,,,,,,,,,,,,,,,
Burwood,3125,Monash,804,2025,B42 Steal from a motor vehicle,0.2823,B49 Other theft,0.1007,B21 Criminal damage,0.0721,B321 Residential non-aggravated burglary,0.0684,B322 Non-residential non-aggravated burglary,0.0622,5566.4,17,48.4,Inner Eastern Melbourne,2025-09-30,450,570,720,580,650,878,650,18,24,28,28,28,30,17,81.1,76.8,72.7,72.2,72.4,69.5,84.0
Burwood East,3151,Whitehorse,780,2025,B42 Steal from a motor vehicle,0.2769,B43 Steal from a retail store,0.1115,B41 Motor vehicle theft,0.0769,B49 Other theft,0.0667,B53 Obtain benefit by deception,0.0603,5032.8,23,29.0,Inner Eastern Melbourne,2025-09-30,530,578,650,540,630,750,650,5,22,38,32,30,42,17,95.6,78.8,62.6,68.0,70.4,56.8,84.0
Cairnlea,3023,Brimbank,385,2025,B42 Steal from a motor vehicle,0.2208,E21 Breach family violence order,0.1039,B21 Criminal damage,0.1013,B41 Motor vehicle theft,0.0805,B49 Other theft,0.0753,7366.8,9,74.2,,,,,,,,,,,,,,,,,,,,,,,
